Titlu anunt,Camere,Suprafata,Etaj,Compartimentare,Vechime,Pret,Localizare
,o cameră,36 mp utili,Parter/8,Decomandat,,250,"Timisoara, zona Circumvalatiunii"
,o cameră,20 mp utili,Parter,Decomandat,Bloc nou,100,"Timisoara, zona Balcescu"
,o cameră,Parter/4,,,,180,"Timisoara, zona Buziasului"
,o cameră,35 mp utili,Etaj 9,Semidecomandat,,350,"Timisoara, zona Take Ionescu"
,o cameră,32 mp utili,Etaj 2,Decomandat,,260,"Timisoara, zona Complex Studentesc"
,o cameră,42 mp utili,Parter,Decomandat,Bloc nou,350,"Timisoara, zona Braytim"
,o cameră,32 mp utili,Etaj 4/8,Decomandat,,330,"Timisoara, zona P-ta Unirii"
,o cameră,35 mp utili,Etaj 6,Decomandat,,329,"Timisoara, zona P-ta Unirii"
,o cameră,35 mp utili,Etaj 1/2,Decomandat,,270,"Timisoara, zona Central"
,o cameră,35 mp utili,Etaj 3,Decomandat,,260,"Timisoara, zona Circumvalatiunii"
,o cameră,35 mp utili,Etaj 1/4,Semidecomandat,,150,"Timisoara, zona Iosefin"
,o cameră,35 mp utili,Parter/4,Decomandat,,220,"Timisoara, zona Garii"
,o cameră,28 mp utili,Etaj 3/3,Semidecomandat,,200,"Timisoara, zona Soarelui"
,o cameră,34 mp utili,Etaj 1,Decomandat,,280,"Timisoara, zona Central"
,o cameră,40 mp utili,Etaj 4,Decomandat,Bloc nou,300,"Timisoara, zona Girocului"
,o cameră,35 mp utili,Etaj 1,,,290,"Timisoara, zona Mircea cel Batran"
,o cameră,40 mp utili,Etaj 1,,,300,"Timisoara, zona Torontalului"
,o cameră,28 mp utili,Etaj 1/4,,,200,"Timisoara, zona Buziasului"
